iter	Passed	Remaining
0	6	656
1	12	612
2	18	596
3	23	573
4	29	552
5	33	531
6	38	515
7	43	496
8	47	479
9	51	461
10	54	442
11	57	424
12	61	410
13	64	396
14	67	384
15	71	372
16	73	360
17	76	349
18	79	338
19	82	329
20	84	319
21	87	310
22	90	301
23	92	293
24	95	285
25	97	278
26	100	271
27	102	264
28	105	258
29	107	251
30	110	245
31	112	239
32	115	233
33	117	227
34	119	222
35	122	216
36	124	212
37	127	207
38	129	202
39	131	197
40	134	193
41	136	188
42	139	184
43	141	179
44	143	175
45	146	171
46	148	167
47	150	163
48	153	159
49	155	155
50	158	152
51	160	148
52	163	144
53	165	141
54	168	137
55	170	133
56	172	130
57	175	126
58	177	123
59	180	120
60	182	116
61	185	113
62	187	110
63	189	106
64	192	103
65	194	100
66	196	96
67	198	93
68	201	90
69	203	87
70	206	84
71	208	81
72	210	78
73	213	74
74	215	71
75	218	68
76	220	65
77	223	62
78	225	59
79	227	56
80	230	54
81	232	51
82	234	48
83	237	45
84	239	42
85	242	39
86	244	36
87	247	33
88	249	30
89	251	27
90	254	25
91	256	22
92	259	19
93	261	16
94	264	13
95	266	11
96	269	8
97	271	5
98	274	2
99	276	0
